"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Australia","Canberra","GDP (Million USD, constant prices, constant PPP, base year 2015)",18877,19053,19983,21062,21061,21975,23322,23682,24413,25019,25794,149.1310324,-35.2801846
"Australia","Geelong","GDP (Million USD, constant prices, constant PPP, base year 2015)",10441,10519,10780,11035,11244,11772,12300,12552,13006,13179,13182,144.3598426,-38.1492994
"Australia","Gold Coast","GDP (Million USD, constant prices, constant PPP, base year 2015)",20311,20358,21462,21782,22069,22613,23287,24434,25617,25950,25117,153.4,-28.016667
"Australia","Greater Adelaide","GDP (Million USD, constant prices, constant PPP, base year 2015)",47898,48469,48693,49733,50116,51297,51832,51637,52481,52555,52115,138.6007456,-34.9284989
"Australia","Greater Brisbane","GDP (Million USD, constant prices, constant PPP, base year 2015)",85518,85718,90368,91713,92923,95214,98050,102879,107862,109262,105756,153.0260341,-27.4704528
"Australia","Greater Melbourne","GDP (Million USD, constant prices, constant PPP, base year 2015)",170000,171279,175527,179681,183074,191677,200283,204374,211772,214583,214644,144.9630576,-37.8136276
"Australia","Greater Perth","GDP (Million USD, constant prices, constant PPP, base year 2015)",105459,119074,127364,129775,139719,130842,124992,126046,127579,138269,148180,115.8616783,-31.9513993
"Australia","Greater Sydney","GDP (Million USD, constant prices, constant PPP, base year 2015)",194245,195376,201697,208872,212507,222357,233421,238961,244226,246686,242176,150.7214362,-33.8048488
"Australia","Newcastle","GDP (Million USD, constant prices, constant PPP, base year 2015)",18354,18461,19058,19736,20079,21010,22056,22579,23076,23309,22883,151.7816802,-32.9282712
"Australia","Wollongong","GDP (Million USD, constant prices, constant PPP, base year 2015)",11318,11384,11752,12170,12382,12956,13601,13924,14230,14374,14111,150.8931132,-34.4248336
"Austria","Graz","GDP (Million USD, constant prices, constant PPP, base year 2015)",29375,29749,30873,31410,31244,31603,31684,32752,33664,34093,35233,15.439504,47.070714
"Austria","Innsbruck","GDP (Million USD, constant prices, constant PPP, base year 2015)",16644,16826,17335,17674,17841,17890,18233,18518,18861,19256,19665,11.4041024,47.2692124
"Austria","Klagenfurt","GDP (Million USD, constant prices, constant PPP, base year 2015)",10683,10972,11405,11298,11174,11269,11230,11235,11628,12004,12129,14.3122246,46.6364598
"Austria","Linz","GDP (Million USD, constant prices, constant PPP, base year 2015)",31625,32227,33151,33234,33454,33515,34039,34343,35363,36497,36939,14.28583,48.30694
"Austria","Salzburg","GDP (Million USD, constant prices, constant PPP, base year 2015)",20897,21845,22552,23068,22592,22649,23188,23695,24216,24497,25193,13.05501,47.80949
"Austria","Wien","GDP (Million USD, constant prices, constant PPP, base year 2015)",147342,149523,152353,152169,151841,152052,153285,157588,159167,163491,166077,16.3718643,48.2081664
"Belgium","Antwerpen","GDP (Million USD, constant prices, constant PPP, base year 2015)",56120,58219,59613,60212,59904,60681,62798,63482,64663,65123,65862,4.4051485,51.2213404
"Belgium","Brugge","GDP (Million USD, constant prices, constant PPP, base year 2015)",10268,10526,10846,10758,10832,10866,10898,11040,11228,11462,11736,3.2247552,51.2091807
"Belgium","Bruxelles/Brussel/Leuven","GDP (Million USD, constant prices, constant PPP, base year 2015)",172695,177979,178665,181452,182475,185555,190030,191877,194681,199123,205176,4.356356,50.8489068
"Belgium","Charleroi","GDP (Million USD, constant prices, constant PPP, base year 2015)",14550,15008,15379,15010,14823,15236,15211,15078,15124,15565,15137,4.44601,50.4096349
"Belgium","Gent","GDP (Million USD, constant prices, constant PPP, base year 2015)",29078,30151,30673,30870,31449,31948,33039,33771,34668,34961,35422,3.7303351,51.0500182
"Belgium","Liège","GDP (Million USD, constant prices, constant PPP, base year 2015)",25331,25818,26364,26103,26126,26513,26582,26864,27433,27822,28261,5.5697498,50.6329586
"Belgium","Mons","GDP (Million USD, constant prices, constant PPP, base year 2015)",6511,6704,7087,7133,7134,7255,7363,7481,7703,7808,8017,3.9523135,50.4546634
"Belgium","Namur","GDP (Million USD, constant prices, constant PPP, base year 2015)",8259,8595,8659,8629,8602,8744,8773,8879,9018,9166,9191,4.8650729,50.4649359
"Bulgaria","Burgas","GDP (Million USD, constant prices, constant PPP, base year 2015)",4099,4126,4195,4148,4183,3823,4257,4534,4667,4484,4549,27.4626361,42.5047926
