"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Australia","Canberra","GDP per capita (USD, constant prices, constant PPP, base year 2015)",53207,52666,54303,55937,54953,56521,58921,58748,58568,58165,58454,149.1310324,-35.2801846
"Australia","Geelong","GDP per capita (USD, constant prices, constant PPP, base year 2015)",42145,41728,42014,42240,42154,43255,44177,43828,44137,43492,42280,144.3598426,-38.1492994
"Australia","Gold Coast","GDP per capita (USD, constant prices, constant PPP, base year 2015)",39892,39178,40589,40182,39795,40027,40428,41418,42396,41982,39827,153.4,-28.016667
"Australia","Greater Adelaide","GDP per capita (USD, constant prices, constant PPP, base year 2015)",38710,38679,38520,38919,38859,39397,39464,38999,39194,38782,37915,138.6007456,-34.9284989
"Australia","Greater Brisbane","GDP per capita (USD, constant prices, constant PPP, base year 2015)",41344,40656,42082,41758,41448,41729,42288,43544,44747,44471,42198,153.0260341,-27.4704528
"Australia","Greater Melbourne","GDP per capita (USD, constant prices, constant PPP, base year 2015)",42165,41716,42099,42121,41893,42823,43672,43351,43953,43675,42912,144.9630576,-37.8136276
"Australia","Greater Perth","GDP per capita (USD, constant prices, constant PPP, base year 2015)",60632,66853,69463,68560,71877,66285,62529,62422,62298,66522,69979,115.8616783,-31.9513993
"Australia","Greater Sydney","GDP per capita (USD, constant prices, constant PPP, base year 2015)",43239,42888,43762,44657,44669,45929,47345,47555,47732,47581,46140,150.7214362,-33.8048488
"Australia","Newcastle","GDP per capita (USD, constant prices, constant PPP, base year 2015)",42806,42576,43460,44644,45033,46709,48695,49473,49950,49796,48269,151.7816802,-32.9282712
"Australia","Wollongong","GDP per capita (USD, constant prices, constant PPP, base year 2015)",42355,42060,43061,44327,44678,46289,48115,48738,49351,49459,48190,150.8931132,-34.4248336
"Austria","Graz","GDP per capita (USD, constant prices, constant PPP, base year 2015)",48908,49225,50699,51192,50518,50603,50197,51129,51988,52250,53602,15.439504,47.070714
"Austria","Innsbruck","GDP per capita (USD, constant prices, constant PPP, base year 2015)",52214,52449,53704,54304,54198,53677,53889,53652,54087,54827,55785,11.4041024,47.2692124
"Austria","Klagenfurt","GDP per capita (USD, constant prices, constant PPP, base year 2015)",42940,44143,45884,45402,44795,45015,44590,44276,45676,47058,47466,14.3122246,46.6364598
"Austria","Linz","GDP per capita (USD, constant prices, constant PPP, base year 2015)",51795,52677,54120,54009,54094,53801,54102,53852,54958,56340,56660,14.28583,48.30694
"Austria","Salzburg","GDP per capita (USD, constant prices, constant PPP, base year 2015)",59719,62367,64146,65301,63560,63293,64148,64514,65384,65630,67094,13.05501,47.80949
"Austria","Wien","GDP per capita (USD, constant prices, constant PPP, base year 2015)",54830,55330,55994,55507,54793,54224,53881,54308,54156,55099,55665,16.3718643,48.2081664
"Belgium","Antwerpen","GDP per capita (USD, constant prices, constant PPP, base year 2015)",52909,54460,55070,54996,54335,54767,56385,56658,57367,57466,57791,4.4051485,51.2213404
"Belgium","Brugge","GDP per capita (USD, constant prices, constant PPP, base year 2015)",43755,44791,45978,45429,45509,45651,45608,46137,46742,47601,48641,3.2247552,51.2091807
"Belgium","Bruxelles/Brussel/Leuven","GDP per capita (USD, constant prices, constant PPP, base year 2015)",57484,58525,57839,58082,57890,58493,59453,59544,60093,61062,62467,4.356356,50.8489068
