"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Australia","Canberra","Labour force (15-64 years old)",201849,208245,209977,214774,214842,214708,216166,219765,225853,228813,231056,149.1310324,-35.2801846
"Australia","Geelong","Labour force (15-64 years old)",129200,115200,125200,129000,120900,127800,117400,141100,144182,141974,151120,144.3598426,-38.1492994
"Australia","Gold Coast","Labour force (15-64 years old)",262973,274450,278143,270159,285428,295508,306486,307384,322530,341652,344541,153.4,-28.016667
"Australia","Greater Adelaide","Labour force (15-64 years old)",630982,647418,650355,648616,652932,646876,654252,657538,662917,674197,682942,138.6007456,-34.9284989
"Australia","Greater Brisbane","Labour force (15-64 years old)",1118700,1139920,1149660,1162180,1171830,1190810,1210840,1230930,1263550,1285360,1310990,153.0260341,-27.4704528
"Australia","Greater Melbourne","Labour force (15-64 years old)",2127070,2182510,2214710,2244850,2287080,2325040,2393910,2479030,2566720,2624800,2714140,144.9630576,-37.8136276
"Australia","Greater Perth","Labour force (15-64 years old)",941788,964030,991795,1037090,1047100,1051610,1065810,1065880,1069910,1089170,1096470,115.8616783,-31.9513993
"Australia","Greater Sydney","Labour force (15-64 years old)",2343410,2347250,2388600,2413280,2457780,2491750,2558510,2611060,2667570,2750080,2816420,150.7214362,-33.8048488
"Australia","Newcastle","Labour force (15-64 years old)",199195,217754,211015,211935,211737,211593,226952,233758,229226,236996,246764,151.7816802,-32.9282712
"Australia","Wollongong","Labour force (15-64 years old)",118628,121260,122858,126618,119662,134796,134608,142316,136756,139041,143168,150.8931132,-34.4248336
"Austria","Graz","Labour force (15-64 years old)",289904,287908,284421,296230,300517,300142,304445,319727,331551,330298,326361,15.439504,47.070714
"Austria","Innsbruck","Labour force (15-64 years old)",165135,158877,158725,161703,170167,164317,160239,180906,183046,180505,179780,11.4041024,47.2692124
"Austria","Klagenfurt","Labour force (15-64 years old)",115769,117193,118124,117600,119365,118681,121154,122450,120336,121345,120254,14.3122246,46.6364598
"Austria","Linz","Labour force (15-64 years old)",312617,316497,322268,321658,324194,315297,313813,321862,321640,331918,334303,14.28583,48.30694
"Austria","Salzburg","Labour force (15-64 years old)",180263,180511,175560,184103,183625,186228,191528,193074,191590,192683,185204,13.05501,47.80949
"Austria","Wien","Labour force (15-64 years old)",1325729,1339113,1348463,1364208,1365469,1381584,1410271,1444285,1479227,1488506,1484674,16.3718643,48.2081664
"Belgium","Antwerpen","Labour force (15-64 years old)",466254,474596,472271,474010,480401,481977,485271,485993,488892,491809,494743,4.4051485,51.2213404
