"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Australia","Canberra","Population, all ages, administrative data",354785,361766,367985,376539,383257,388799,395813,403104,416824,430140,441277,149.1310324,-35.2801846
"Australia","Geelong","Population, all ages, administrative data",247731,252091,256580,261251,266726,272154,278436,286384,294675,303011,311790,144.3598426,-38.1492994
"Australia","Gold Coast","Population, all ages, administrative data",509133,519630,528766,542072,554567,564952,576016,589933,604243,618121,630646,153.4,-28.016667
"Australia","Greater Adelaide","Population, all ages, administrative data",1237354,1253097,1264091,1277850,1289696,1302079,1313419,1324057,1339009,1355140,1374513,138.6007456,-34.9284989
"Australia","Greater Brisbane","Population, all ages, administrative data",2068479,2108348,2147436,2196288,2241944,2281740,2318653,2362672,2410501,2456935,2506147,153.0260341,-27.4704528
"Australia","Greater Melbourne","Population, all ages, administrative data",4031787,4105857,4169366,4265843,4370067,4476030,4586012,4714387,4818100,4913138,5001917,144.9630576,-37.8136276
"Australia","Greater Perth","Population, all ages, administrative data",1739342,1781132,1833567,1892862,1943855,1973923,1998937,2019263,2047880,2078537,2117497,115.8616783,-31.9513993
"Australia","Greater Sydney","Population, all ages, administrative data",4492380,4555516,4608949,4677196,4757364,4841349,4930189,5024923,5116610,5184555,5248704,150.7214362,-33.8048488
"Australia","Newcastle","Population, all ages, administrative data",428766,433597,438522,442072,445887,449806,452929,456395,461996,468088,474067,151.7816802,-32.9282712
"Australia","Wollongong","Population, all ages, administrative data",267219,270661,272923,274564,277146,279901,282672,285688,288353,290622,292818,150.8931132,-34.4248336
"Austria","Graz","Population, all ages, administrative data",600619,604354,608948,613579,618467,624540,631194,640574,647531,652485,657316,15.439504,47.070714
"Austria","Innsbruck","Population, all ages, administrative data",318760,320813,322786,325464,329174,333280,338352,345143,348723,351215,352507,11.4041024,47.2692124
"Austria","Klagenfurt","Population, all ages, administrative data",248796,248553,248567,248854,249445,250334,251839,253761,254574,255079,255519,14.3122246,46.6364598
"Austria","Linz","Population, all ages, administrative data",610593,611788,612547,615347,618431,622945,629153,637739,643455,647800,651950,14.28583,48.30694
"Austria","Salzburg","Population, all ages, administrative data",349919,350261,351577,353263,355448,357837,361479,367279,370368,373262,375489,13.05501,47.80949
"Austria","Wien","Population, all ages, administrative data",2687263,2702410,2720884,2741423,2771168,2804165,2844897,2901726,2939030,2967197,2983513,16.3718643,48.2081664
"Belgium","Antwerpen","Population, all ages, administrative data",1060707,1069023,1082500,1094846,1102492,1107980,1113745,1120439,1127171,1133255,1139663,4.4051485,51.2213404
"Belgium","Brugge","Population, all ages, administrative data",234672,235004,235901,236806,238016,238026,238945,239281,240212,240788,241286,3.2247552,51.2091807
"Belgium","Bruxelles/Brussel/Leuven","Population, all ages, administrative data",3004212,3041084,3089022,3124065,3152112,3172245,3196299,3222431,3239670,3260987,3284548,4.356356,50.8489068
"Belgium","Charleroi","Population, all ages, administrative data",497237,498901,501467,503353,504668,504609,505209,505466,505179,506096,506620,4.44601,50.4096349
"Belgium","Gent","Population, all ages, administrative data",617769,623839,630459,633530,635846,639558,643769,649275,653457,657150,661454,3.7303351,51.0500182
"Belgium","Liège","Population, all ages, administrative data",758042,763206,770104,774678,778308,781645,784042,787156,789989,791850,793118,5.5697498,50.6329586
"Belgium","Mons","Population, all ages, administrative data",246554,247687,249123,250008,251342,252668,253434,253476,253965,254100,254474,3.9523135,50.4546634
"Belgium","Namur","Population, all ages, administrative data",252656,254315,256296,257910,259292,260219,261584,262671,263712,264986,265753,4.8650729,50.4649359
"Bulgaria","Burgas","Population, all ages, administrative data",276525,276391,275748,275110,274584,274804,274604,274405,273609,272877,272049,27.4626361,42.5047926
"Bulgaria","Plovdiv","Population, all ages, administrative data",552367,550746,548688,546750,545125,544592,542496,540646,539273,537846,536672,24.7452904,42.1354079
"Bulgaria","Sofia","Population, all ages, administrative data",1524058,1531454,1537727,1539994,1542927,1547644,1551663,1552980,1553835,1553081,1553106,23.3218675,42.6977082
"Bulgaria","Varna","Population, all ages, administrative data",403518,404799,405459,405090,404296,404861,404629,403879,403647,403190,402449,27.9147333,43.2140504
"Canada","Calgary","Population, all ages, administrative data",1336732,1359701,1384554,1423786,1470901,1514984,1544221,1570523,1591385,1617001,1648521,-114.0718831,51.0447331
"Canada","Edmonton","Population, all ages, administrative data",1196420,1216902,1238671,1267176,1305412,1345705,1372203,1398763,1423081,1447637,1474072,-113.4937266,53.5460983
"Canada","Halifax","Population, all ages, administrative data",448735,453801,457708,460154,461222,462429,463336,469278,477139,485463,495040,-63.1005273,44.8857087
"Canada","Hamilton","Population, all ages, administrative data",614731,618262,621450,624954,628776,632373,636152,642171,650754,659677,668798,-79.8711024,43.2557206
"Canada","Kitchener","Population, all ages, administrative data",537356,542663,548554,553695,558510,562679,567545,579198,591253,606094,620649,-80.4925337,43.4516395
"Canada","London","Population, all ages, administrative data",550201,553256,555950,559060,561208,564150,568022,576626,588367,601588,612434,-81.2452768,42.9849233
"Canada","Montreal","Population, all ages, administrative data",4141813,4192403,4236554,4276966,4313755,4342676,4361056,4395130,4451009,4527585,4599452,-73.5673919,45.5018869
