"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Australia","Canberra","Unemployment rate (unemployment 15-64 over labour force 15-64)",3.3,3.4,3.9,3.8,4.3,4.4,4.8,3.9,4.1,3.6,3.4,149.1310324,-35.2801846
"Australia","Geelong","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.3,7.2,3.2,5.3,6.8,9.6,6,5.7,5.7,6.5,5.1,144.3598426,-38.1492994
"Australia","Gold Coast","Unemployment rate (unemployment 15-64 over labour force 15-64)",5.8,6.4,6.4,4.7,7.2,5.9,6,5.3,5.1,4.7,5.9,153.4,-28.016667
"Australia","Greater Adelaide","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.1,5.5,5.6,5.7,6.5,6.8,7.6,7.3,6.7,6.1,6.4,138.6007456,-34.9284989
"Australia","Greater Brisbane","Unemployment rate (unemployment 15-64 over labour force 15-64)",4.9,5.1,4.9,5.6,5.8,6.4,5.9,5.7,6.1,6.4,6.2,153.0260341,-27.4704528
"Australia","Greater Melbourne","Unemployment rate (unemployment 15-64 over labour force 15-64)",5.7,5.2,5.1,5.6,6.2,6.8,6.3,6,6.3,5.1,5.1,144.9630576,-37.8136276
"Australia","Greater Perth","Unemployment rate (unemployment 15-64 over labour force 15-64)",5.1,4.6,4.4,4.1,4.4,5.3,6.1,6.4,6.4,6.5,6.3,115.8616783,-31.9513993
"Australia","Greater Sydney","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.2,5.1,5.2,4.9,5.5,5.3,5.2,5,4.7,4.4,4.4,150.7214362,-33.8048488
"Australia","Newcastle","Unemployment rate (unemployment 15-64 over labour force 15-64)",5.3,4.5,3.6,4.4,5.2,6.5,6.7,5.4,5.7,6.1,4.6,151.7816802,-32.9282712
"Australia","Wollongong","Unemployment rate (unemployment 15-64 over labour force 15-64)",8.3,7.9,6.7,8,4.9,6.9,8.3,7.8,5,5.1,5.6,150.8931132,-34.4248336
"Belgium","Antwerpen","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.8,7.3,6.3,6.7,7.3,7.3,7.5,7.1,7.2,7.3,7.3,4.4051485,51.2213404
"Belgium","Brugge","Unemployment rate (unemployment 15-64 over labour force 15-64)",3.9,4.1,3.3,3.5,4,4.2,4.2,3.8,3.8,4.2,4.1,3.2247552,51.2091807
"Belgium","Bruxelles/Brussel/Leuven","Unemployment rate (unemployment 15-64 over labour force 15-64)",8.8,9.7,9,9.4,10.4,10.3,9.9,9.5,9.1,8.7,8.3,4.356356,50.8489068
"Belgium","Charleroi","Unemployment rate (unemployment 15-64 over labour force 15-64)",10.8,11.2,9.1,9.4,10.8,11.3,11.1,9.9,9.8,9.7,9.7,4.44601,50.4096349
"Belgium","Gent","Unemployment rate (unemployment 15-64 over labour force 15-64)",5.4,5.6,4.6,4.8,5.3,5.4,5.5,5.2,5.2,5.1,5.1,3.7303351,51.0500182
"Belgium","Liège","Unemployment rate (unemployment 15-64 over labour force 15-64)",13.1,13.2,11.1,11.9,13.4,14.1,14.2,12.6,12.6,12.6,12.4,5.5697498,50.6329586
"Belgium","Mons","Unemployment rate (unemployment 15-64 over labour force 15-64)",14.8,15.1,12.7,13.2,14.7,15.3,15,13.2,13,12.8,12.6,3.9523135,50.4546634
"Belgium","Namur","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.7,9.9,8,8.6,9.7,10.3,10.3,8.9,8.8,8.8,8.7,4.8650729,50.4649359
"Bulgaria","Burgas","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.7,10.6,11.7,12.1,13.2,12.1,10.6,8,7.1,5.6,4.1,27.4626361,42.5047926
"Bulgaria","Plovdiv","Unemployment rate (unemployment 15-64 over labour force 15-64)",7.4,11.6,13,14,13.6,12.2,9.4,7.2,5.4,4.3,3.1,24.7452904,42.1354079
"Bulgaria","Sofia","Unemployment rate (unemployment 15-64 over labour force 15-64)",4.2,7,7.6,8.3,10,9.1,6.8,5.5,3.4,2.7,2.3,23.3218675,42.6977082
"Bulgaria","Varna","Unemployment rate (unemployment 15-64 over labour force 15-64)",10.6,14.7,15.5,18.5,17.1,12.9,10.5,9.9,9.6,7.6,6.1,27.9147333,43.2140504
"Canada","Calgary","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.7,6.6,5.5,4.7,4.7,4.8,6.2,8.3,8,6.7,7.1,-114.0718831,51.0447331
"Canada","Edmonton","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.7,6.6,5.5,4.7,4.7,4.8,6.2,8.3,8,6.7,7.1,-113.4937266,53.5460983
"Canada","Halifax","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.4,9.8,9.2,9.2,9.1,9,8.8,8.5,8.7,7.8,7.4,-63.1005273,44.8857087
"Canada","Hamilton","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.3,8.9,8,8,7.7,7.5,6.9,6.7,6.1,5.8,5.7,-79.8711024,43.2557206
"Canada","Kitchener","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.3,8.9,8,8,7.7,7.5,6.9,6.7,6.1,5.8,5.7,-80.4925337,43.4516395
"Canada","London","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.3,8.9,8,8,7.7,7.5,6.9,6.7,6.1,5.8,5.7,-81.2452768,42.9849233
"Canada","Montreal","Unemployment rate (unemployment 15-64 over labour force 15-64)",8.7,8.1,7.9,7.9,7.7,7.8,7.7,7.2,6.1,5.5,5.1,-73.5673919,45.5018869
"Canada","Ottawa","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.1,8.7,8,8,7.7,7.5,7.1,6.8,6.1,5.7,5.6,-75.6971931,45.4215296
"Canada","Quebec","Unemployment rate (unemployment 15-64 over labour force 15-64)",8.7,8.1,7.9,7.9,7.7,7.8,7.7,7.2,6.1,5.5,5.1,-71.2074596,46.8130816
"Canada","Saskatoon","Unemployment rate (unemployment 15-64 over labour force 15-64)",5,5.3,5.1,4.9,4.2,4,5.2,6.5,6.5,6.4,5.7,-106.6701577,52.157902
"Canada","Sherbrooke","Unemployment rate (unemployment 15-64 over labour force 15-64)",8.7,8.1,7.9,7.9,7.7,7.8,7.7,7.2,6.1,5.5,5.1,-71.893674,45.4042669
"Canada","Toronto","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.3,8.9,8,8,7.7,7.5,6.9,6.7,6.1,5.8,5.7,-79.3831843,43.653226
"Canada","Vancouver","Unemployment rate (unemployment 15-64 over labour force 15-64)",7.8,7.8,7.8,7,6.7,6.2,6.2,6.1,5.2,4.8,4.8,-123.1207375,49.2827291
"Canada","Victoria","Unemployment rate (unemployment 15-64 over labour force 15-64)",7.8,7.8,7.8,7,6.7,6.2,6.2,6.1,5.2,4.8,4.8,-123.3656444,48.4284207
"Canada","Windsor","Unemployment rate (unemployment 15-64 over labour force 15-64)",9.3,8.9,8,8,7.7,7.5,6.9,6.7,6.1,5.8,5.7,-83.0363633,42.3149367
"Canada","Winnipeg","Unemployment rate (unemployment 15-64 over labour force 15-64)",5.3,5.5,5.6,5.4,5.5,5.5,5.7,6.3,5.5,6.1,5.5,-97.1385145,49.8954221
"Chile","Antofagasta","Unemployment rate (unemployment 15-64 over labour force 15-64)",7.38,7.8,6.5,5.4,6,6.7,7.1,8.3,8.9,8.9,8.2,-70.3975022,-23.6509279
"Chile","Concepcion","Unemployment rate (unemployment 15-64 over labour force 15-64)",8.3,9.6,8.6,8.7,8.3,8.7,8.1,7.5,8,7.9,7.6,-73.0443904,-36.8201352
"Chile","Coquimbo-La Serena","Unemployment rate (unemployment 15-64 over labour force 15-64)",7.78,8.7,7.9,6.5,7.2,7.6,8.1,8.1,8.4,7.9,7.4,-71.2519374,-29.9026691
"Chile","Puerto Montt","Unemployment rate (unemployment 15-64 over labour force 15-64)",4.2,7.6,5.1,4.1,3.3,4.2,3.5,2.9,3.9,3.6,3.8,-72.9411364,-41.468917
"Chile","Rancagua","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.54,7.1,6.2,6,5.1,5.5,6,6.7,6.9,7.9,8,-70.7406259,-34.1701324
"Chile","Santiago","Unemployment rate (unemployment 15-64 over labour force 15-64)",7.19,8.4,7.4,6.8,6,6.5,6.3,7.2,7.3,8.1,7.9,-70.6692655,-33.4488897
"Chile","Talca","Unemployment rate (unemployment 15-64 over labour force 15-64)",6.54,7.5,7.2,6.8,6.3,6.4,6.4,5.3,5.9,6.6,7,-71.6484804,-35.4232444
