"country","media_pm25_2009"
"Australia",7.68333333333333
"Austria",17.25
"Belgium",16.6
"Bulgaria",22.9882352941176
"Canada",7.89615384615385
"Chile",21.9846153846154
"Colombia",18.1415094339623
"Croatia",20.0714285714286
"Czechia",19.4333333333333
"Denmark",12.4
"Estonia",8.36666666666667
"Finland",7.15714285714286
"France",13.6614285714286
"Germany",15.3091836734694
"Greece",21.65
"Hungary",18.8526315789474
"Iceland",8
"Ireland",11.24
"Italy",19.9638554216867
"Japan",11.144262295082
"Korea",23.7272727272727
"Latvia",16.775
"Lithuania",13.6166666666667
"Luxembourg",12.4
"Malta",16.3
"Mexico",19.3597826086957
"Netherlands",15.8314285714286
"New Zealand",6.86428571428571
"Norway",8.375
"Poland",23.5758620689655
"Portugal",10.8
"Romania",19.5285714285714
"Slovak Republic",21.05
"Slovenia",20.45
"Spain",13.1530864197531
"Sweden",7.825
"Switzerland",15.41
"Türkiye",26.1538461538462
"United Kingdom",12.7545454545455
"United States",9.1696682464455
